All,All,All,All,All,All,All,All,Agri,Agri,Agri,Agri,Agri,Agri,Agri,Agri,Mini,Mini,Mini,Mini,Mini,Mini,Mini,Mini,Natu,Natu,Natu,Natu,Natu,Natu,Natu,Natu
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
19.0,-0.00957663458627787,0.038914862087253595,-0.10055950713083739,-0.034362423806515,-0.010780181760853935,0.012744592724554415,0.06642499067669227,19.0,0.03556252701546442,0.3727174386784944,-0.5023863865554432,-0.23223657352714078,0.0560757510549017,0.2747644941485321,0.713724979229541,19.0,-0.03978491174322706,0.16223927148982398,-0.27351597844931597,-0.15236881138162417,-0.04960937031894197,0.05386631109172324,0.2987619241753574,19.0,0.02895717928818741,0.33969182684723453,-0.44564041132078813,-0.211101375973481,0.05637555152823026,0.2252834111346873,0.6697250572137765
19.0,0.003426681238077983,0.05057161348842748,-0.08863379678805927,-0.03179490513567984,0.0026714820362343517,0.03013343909187416,0.11706331875353726,19.0,0.005127528700615146,0.10726269465850068,-0.33495178119425795,0.0,0.0,0.0,0.2472356854670359,19.0,-0.0896622663665512,0.36384411125674887,-1.3786252364792162,-0.11612911836633799,-0.05432903564538094,0.04609363787271459,0.32330230824101847,19.0,0.005668332171258085,0.10526958305922031,-0.324648266291657,0.0,0.0,0.0,0.24089699756545357
19.0,0.023180296772606655,0.03793701942935389,-0.05692493775745788,0.004361599455828369,0.01952263130020704,0.041171648379050296,0.10711489117790762,19.0,0.015489112969903155,0.32448341806197595,-0.6075836915419011,-0.16479470492358583,0.056358691656988924,0.15013886147079436,0.7516336788335867,19.0,-0.025560882186977506,0.23809525250418614,-0.5887626967450004,-0.20110052169470194,0.034934923189119615,0.13831344719216965,0.34421791564163406,19.0,-0.0021496280904991344,0.22275710953657776,-0.3641481865795395,-0.18167922667553427,0.04961500736270885,0.11321890852561811,0.5378137347753089
19.0,-0.0002877560015165078,0.03775739709519661,-0.07324698132012841,-0.024564827849644644,-0.00029917494326880956,0.020601750389838358,0.07736222537588411,19.0,-0.02910432548104839,0.3301408305398467,-0.7776796916940807,-0.09923341783925199,0.13138611355918073,0.17424405134791687,0.34863046462489855,19.0,-0.030665965777403582,0.14850254884958677,-0.2967176507952658,-0.11609780437830963,-0.017704220388617742,0.040438904528187436,0.2945046122447401,19.0,-0.02584379223745446,0.1303219751814985,-0.2757349745992954,-0.0824997308146429,-0.041669262547237906,0.06325889910847504,0.25725684485462175
19.0,-0.001524351597295885,0.0278395152775775,-0.07617069259188547,-0.010897198835978728,0.0015748329260443228,0.014384454693299631,0.05880511684239487,19.0,-0.11519026028172669,0.7715450082232524,-1.596291185670088,-0.6792566219393459,0.0523720773712526,0.2807956885472471,1.83538959957259,19.0,-0.019901932583497484,0.2080689278621364,-0.281172995577208,-0.21662445703023803,-0.012621413310373697,0.11419927177310019,0.42418887152318696,19.0,-0.07714827964522757,0.4365910825923407,-0.9064203499136259,-0.341776197999077,-0.03084788108380465,0.24347369439549915,0.7959856267850629
19.0,-0.012226962195159735,0.08226467074573077,-0.16810153421949714,-0.04994249475281709,-0.012857444463776346,0.01752898516523249,0.2005092400273405,19.0,-0.028437597783434344,0.23001137458604246,-0.43721782312418966,-0.18949868158954963,-0.061794456091156746,0.06321051473210204,0.5297756999915624,19.0,-0.04829696999257805,0.650440332854815,-2.2170822145081726,-0.07983554112646374,0.025509177231835878,0.09057882188550881,1.5167845116724799,19.0,-0.04026444574430131,0.4701066513654688,-1.4145580685479597,-0.15362763938080803,-0.007321913870969254,0.04777022274871712,1.283894097488968
19.0,0.007412186858857321,0.04874099470203286,-0.08005651547690817,-0.03681512140854348,0.0037267222676824474,0.03843595938418787,0.09428226552865837,19.0,-0.05760843286694604,0.5688072142524119,-1.3769752793997565,-0.30466850298414183,0.024419389199792363,0.18860328420873973,1.2752493909356328,19.0,-0.025551030345786055,0.24705803160003795,-0.7833995639697164,-0.1255280701197803,-0.02227574741474392,0.09174336481122847,0.3763021060523357,19.0,-0.04707424600538084,0.35052611137478235,-0.6679778389535969,-0.26380053369718404,-0.014468744575356851,0.15500530809255242,0.6814713329516771
10.0,-0.005052611866454093,0.047935909455557,-0.09247884042863674,-0.022015531024453416,0.004260305636609729,0.019932708209519312,0.05701927249125838,10.0,-0.01194429080471906,0.3391979739948711,-0.5343616752024545,-0.06821297867982246,-0.002999931558480995,0.08105093880305425,0.7280051920341446,10.0,-0.041072366536163155,0.9149375366791596,-1.9106964706598237,-0.4119268150372908,-0.15739432025235756,0.49780736348502885,1.5385542344277834,10.0,-0.010961041580715581,0.3268881965412427,-0.5309506595978242,-0.05849627844749561,0.015016384244235681,0.08196638201026252,0.6809841190326154
13.0,0.006617271508332578,0.027180554010070374,-0.040517267616841934,0.002476190080528795,0.010367807851126898,0.016937163704215052,0.04849004218100106,13.0,-0.21477650219236574,0.7743876914193788,-2.792094528500755,0.0,0.0,0.0,0.0,13.0,0.2659396572710287,0.6782017704750705,-0.9802222727199492,0.013760967735208851,0.2801645475156782,0.6196401512829315,1.4954380341855664,13.0,-0.2142192414660199,0.7723784592967362,-2.7848501390582587,0.0,0.0,0.0,0.0
19.0,-0.008178803220057361,0.049835268210017186,-0.12089748911549059,-0.034705484395694874,-0.008520077174518192,0.024071940124980706,0.10472476248015461,19.0,-0.016202823614615027,0.15641178992595786,-0.30173316775484516,-0.0186652100641016,0.0,0.0,0.36260151270532504,19.0,0.0028741727591740152,0.5480546054549403,-1.2540078499010185,-0.08095128642387861,-0.01045487829263081,0.2700478753569957,0.9344932808116031,19.0,-0.016494628098720144,0.1518778048831289,-0.28128187004521443,-0.02268304033377877,0.0,0.0,0.3831131054800121
